name,rating,price,zip_code,categories,cuisine,borough
Taqueria Milear,4.0,$,11216,Mexican,Mexican,"Brooklyn, NY"
Taqueria El Patron,4.5,Not Available,11385,Mexican,Mexican,"Brooklyn, NY"
Amaranto Mexican Restaurant,4.5,$$,11237,Mexican,Mexican,"Brooklyn, NY"
De Mole,4.5,Not Available,11211,"Mexican, Breakfast & Brunch, Cocktail Bars",Mexican,"Brooklyn, NY"
Martha's Cocina Mexicana,4.5,Not Available,11238,Mexican,Mexican,"Brooklyn, NY"
Taqueria El Patron Mexican Grill Park Slope,4.0,Not Available,11215,Mexican,Mexican,"Brooklyn, NY"
Calabrije's Margaritas & Tacos,4.0,$$,11237,"Tacos, Cocktail Bars",Mexican,"Brooklyn, NY"
El Jeffe,4.5,$$,11216,New Mexican Cuisine,Mexican,"Brooklyn, NY"
Las Santas,4.0,$$,11217,"Mexican, Cocktail Bars, Breakfast & Brunch",Mexican,"Brooklyn, NY"
Breuklyn Tequila & Taco Bar,3.5,Not Available,11216,"Tacos, Cocktail Bars",Mexican,"Brooklyn, NY"
Panchitas Place,4.5,$$,11215,"Bars, Breakfast & Brunch, Mexican",Mexican,"Brooklyn, NY"
Fonda Park Slope,4.0,$$$,11215,"Mexican, Salad, Breakfast & Brunch",Mexican,"Brooklyn, NY"
Taqueria El Patron Mexican Grill,3.5,$$$,11225,Mexican,Mexican,"Brooklyn, NY"
Don Pancho Villa Restaurant,3.5,$$,11211,"Tex-Mex, Mexican",Mexican,"Brooklyn, NY"
Gordo's Cantina,4.0,$$,11237,Mexican,Mexican,"Brooklyn, NY"
Pomo,5.0,Not Available,11201,"Cocktail Bars, Mexican",Mexican,"Brooklyn, NY"
Las Chelitas,4.5,$$,11228,Mexican,Mexican,"Brooklyn, NY"
Casa Maya,4.0,Not Available,11221,"Mexican, Cocktail Bars, Dance Clubs",Mexican,"Brooklyn, NY"
Mesa Coyoacan,4.0,$$,11211,"Mexican, Bars",Mexican,"Brooklyn, NY"
Nacho Macho Taco,4.5,$,11217,Mexican,Mexican,"Brooklyn, NY"
Los Tres Chiflados,4.0,$$,11226,Mexican,Mexican,"Brooklyn, NY"
Tacombi,4.0,$$,11217,Mexican,Mexican,"Brooklyn, NY"
Tacombi,4.5,$$,11211,Mexican,Mexican,"Brooklyn, NY"
Chilo's,4.0,$,11238,"Bars, Mexican, Food Trucks",Mexican,"Brooklyn, NY"
Miti Miti,4.0,$$,11217,"Latin American, Mexican, Breakfast & Brunch",Mexican,"Brooklyn, NY"
Luisa Cocina Mexicana,5.0,Not Available,11237,Mexican,Mexican,"Brooklyn, NY"
Mesa Azteca,4.0,$$,11237,Mexican,Mexican,"Brooklyn, NY"
La Contenta,4.5,$$,10002,"Mexican, Bars, Breakfast & Brunch",Mexican,"Brooklyn, NY"
Caliza,5.0,Not Available,10013,"Cocktail Bars, Mexican, Breakfast & Brunch",Mexican,"Brooklyn, NY"
Taqueria Al Pastor,4.0,$$,11201,Mexican,Mexican,"Brooklyn, NY"
The Cactus Shop,4.5,$$,11249,"Cocktail Bars, Speakeasies, Mexican",Mexican,"Brooklyn, NY"
Purepecha,4.5,$$,11201,Mexican,Mexican,"Brooklyn, NY"
Xixa,4.5,$$$,11211,"Mexican, Tapas/Small Plates, Cocktail Bars",Mexican,"Brooklyn, NY"
Jauja Mexican Kitchen,4.5,Not Available,11225,Tacos,Mexican,"Brooklyn, NY"
Leyenda,4.0,$$,11201,"Latin American, Mexican, Cocktail Bars",Mexican,"Brooklyn, NY"
Jajaja Mexicana,4.5,$$,11249,"Mexican, Vegan, Cocktail Bars",Mexican,"Brooklyn, NY"
Bar Verde,4.5,$$,10003,"Mexican, Vegan, Gluten-Free",Mexican,"Brooklyn, NY"
Oxomoco,4.0,$$$,11222,Mexican,Mexican,"Brooklyn, NY"
Xolo,4.5,Not Available,11249,Mexican,Mexican,"Brooklyn, NY"
Garnacha Bite,4.5,Not Available,11216,"Mexican, Tex-Mex",Mexican,"Brooklyn, NY"
Fonda Garibaldi,4.5,Not Available,11219,New Mexican Cuisine,Mexican,"Brooklyn, NY"
El Caminante,4.0,Not Available,11221,Mexican,Mexican,"Brooklyn, NY"
Nacho Macho Taco,4.0,$$,11238,Mexican,Mexican,"Brooklyn, NY"
El Zason,4.0,$$,11217,Mexican,Mexican,"Brooklyn, NY"
The Taco Bar,4.5,Not Available,11216,"New Mexican Cuisine, Tacos, Cocktail Bars",Mexican,"Brooklyn, NY"
Rosa Mexicano,3.5,$$,10003,Mexican,Mexican,"Brooklyn, NY"
Carbon Charcoal Grill & Bar,4.5,Not Available,11213,Kosher,Kosher,"Brooklyn, NY"
Mama Kitchen,4.5,Not Available,11233,"Kosher, Middle Eastern",Kosher,"Brooklyn, NY"
Bou'ote,5.0,Not Available,11213,"Kosher, Cocktail Bars",Kosher,"Brooklyn, NY"
Izzy's Brooklyn Smokehouse,4.0,$$$,11213,"Barbeque, Kosher, Smokehouse",Kosher,"Brooklyn, NY"
Ital Kitchen,4.5,$$,11225,"Vegetarian, Vegan",Kosher,"Brooklyn, NY"
Miriam,4.0,$$,11217,"Wine Bars, Mediterranean, Breakfast & Brunch",Kosher,"Brooklyn, NY"
Milk & Honey Cafe,4.0,$$,11230,"Coffee & Tea, Desserts, Breakfast & Brunch",Kosher,"Brooklyn, NY"
